Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/U0/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_0_axis_tready,design_1_i/system_ila_0/U0/net_slot_0_axis_tlast,design_1_i/system_ila_0/U0/net_slot_1_axis_tdata[15:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tkeep[1:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_1_axis_tready,design_1_i/system_ila_0/U0/net_slot_1_axis_tlast,Interface_(i1:s0)_(AXI_wrap_0_M_AXIS)[2:0],Interface_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(AXI_wrap_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0]
67,67,0,0,0,1,0,27105,3,1,1,0,"_","Active","_","Stream Beat"
68,68,0,0,0,1,0,30864,3,1,1,0,"_","Active","_","Stream Beat"
69,69,0,0,0,1,0,23132,3,1,1,0,"_","Active","_","Stream Beat"
70,70,0,0,0,1,0,2950,3,1,1,0,"_","Active","_","Stream Beat"
71,71,0,0,0,1,0,4165,3,1,1,0,"_","Active","_","Stream Beat"
72,72,0,0,0,1,0,4165,3,1,1,0,"_","Active","_","Stream Beat"
73,73,0,0,0,1,0,2950,3,1,1,0,"_","Active","_","Stream Beat"
74,74,0,0,0,1,0,23132,3,1,1,0,"_","Active","_","Stream Beat"
75,75,0,0,0,1,0,37257,3,1,1,0,"_","Active","_","Stream Beat"
76,76,0,0,0,1,0,32356,3,1,1,0,"_","Active","_","Stream Beat"
77,77,0,0,0,1,0,36774,3,1,1,0,"_","Active","_","Stream Beat"
78,78,0,0,0,1,0,36774,3,1,1,0,"_","Active","_","Stream Beat"
79,79,0,0,0,1,0,32356,3,1,1,0,"_","Active","_","Stream Beat"
80,80,0,0,0,1,0,37257,3,1,1,0,"_","Active","_","Stream Beat"
81,81,0,0,0,1,0,37466,3,1,1,0,"_","Active","_","Stream Beat"
82,82,0,0,0,1,0,42946,3,1,1,0,"_","Active","_","Stream Beat"
83,83,0,0,0,1,0,35922,3,1,1,0,"_","Active","_","Stream Beat"
84,84,0,0,0,1,0,30965,3,1,1,0,"_","Active","_","Stream Beat"
85,85,0,0,0,1,0,27712,3,1,1,0,"_","Active","_","Stream Beat"
86,86,0,0,0,1,0,17559,3,1,1,0,"_","Active","_","Stream Beat"
87,87,0,0,0,1,0,27426,3,1,1,0,"_","Active","_","Stream Beat"
88,88,0,0,0,1,0,22882,3,1,1,0,"_","Active","_","Stream Beat"
89,89,0,0,0,1,0,20395,3,1,1,0,"_","Active","_","Stream Beat"
90,90,0,0,0,1,0,18434,3,1,1,0,"_","Active","_","Stream Beat"
91,91,0,0,0,1,0,25784,3,1,1,0,"_","Active","_","Stream Beat"
92,92,0,0,0,1,0,24685,3,1,1,0,"_","Active","_","Stream Beat"
93,93,0,0,0,1,0,23394,3,1,1,0,"_","Active","_","Stream Beat"
94,94,0,0,0,1,0,31131,3,1,1,0,"_","Active","_","Stream Beat"
95,95,0,0,0,1,0,29807,3,1,1,0,"_","Active","_","Stream Beat"
96,96,0,0,0,1,0,21898,3,1,1,0,"_","Active","_","Stream Beat"
97,97,0,0,0,1,0,30508,3,1,1,0,"_","Active","_","Stream Beat"
98,98,0,0,0,1,0,34420,3,1,1,0,"_","Active","_","Stream Beat"
99,99,0,0,0,1,0,27090,3,1,1,0,"_","Active","_","Stream Beat"
100,100,0,0,0,1,0,29429,3,1,1,0,"_","Active","_","Stream Beat"
101,101,0,0,0,1,0,25563,3,1,1,0,"_","Active","_","Stream Beat"
102,102,0,0,0,1,0,26225,3,1,1,0,"_","Active","_","Stream Beat"
103,103,0,0,0,1,0,32746,3,1,1,0,"_","Active","_","Stream Beat"
104,104,0,0,0,1,0,26947,3,1,1,0,"_","Active","_","Stream Beat"
105,105,0,0,0,1,0,32716,3,1,1,0,"_","Active","_","Stream Beat"
106,106,0,0,0,1,0,23195,3,1,1,0,"_","Active","_","Stream Beat"
107,107,0,0,0,1,0,25851,3,1,1,0,"_","Active","_","Stream Beat"
108,108,0,0,0,1,0,34321,3,1,1,0,"_","Active","_","Stream Beat"
109,109,0,0,0,1,0,33468,3,1,1,0,"_","Active","_","Stream Beat"
110,110,0,0,0,1,0,31318,3,1,1,0,"_","Active","_","Stream Beat"
111,111,0,0,0,1,0,27601,3,1,1,0,"_","Active","_","Stream Beat"
112,112,0,0,0,1,0,35891,3,1,1,0,"_","Active","_","Stream Beat"
113,113,0,0,0,1,0,33203,3,1,1,0,"_","Active","_","Stream Beat"
114,114,0,0,0,1,0,23807,3,1,1,0,"_","Active","_","Stream Beat"
115,115,0,0,0,1,0,25317,3,1,1,0,"_","Active","_","Stream Beat"
116,116,0,0,0,1,0,32718,3,1,1,0,"_","Active","_","Stream Beat"
117,117,0,0,0,1,0,21690,3,1,1,0,"_","Active","_","Stream Beat"
118,118,0,0,0,1,0,20623,3,1,1,0,"_","Active","_","Stream Beat"
119,119,0,0,0,1,0,35728,3,1,1,0,"_","Active","_","Stream Beat"
120,120,0,0,0,1,0,30111,3,1,1,0,"_","Active","_","Stream Beat"
121,121,0,0,0,1,0,35153,3,1,1,0,"_","Active","_","Stream Beat"
122,122,0,0,0,1,0,40813,3,1,1,0,"_","Active","_","Stream Beat"
123,123,0,0,0,1,0,44190,3,1,1,0,"_","Active","_","Stream Beat"
124,124,0,0,0,1,0,32758,3,1,1,0,"_","Active","_","Stream Beat"
125,125,0,0,0,1,0,32683,3,1,1,0,"_","Active","_","Stream Beat"
126,126,0,0,0,1,0,33380,3,1,1,0,"_","Active","_","Stream Beat"
127,127,0,0,0,1,0,32376,3,1,1,0,"_","Active","_","Stream Beat"
128,128,0,0,0,1,0,40815,3,1,1,0,"_","Active","_","Stream Beat"
129,129,0,0,0,1,0,48061,3,1,1,0,"_","Active","_","Stream Beat"
130,130,0,0,0,1,0,45413,3,1,1,0,"_","Active","_","Stream Beat"
131,131,0,0,0,1,0,25334,3,1,1,0,"_","Active","_","Stream Beat"
132,132,0,0,0,1,0,25948,3,1,1,0,"_","Active","_","Stream Beat"
133,133,0,0,0,1,0,23664,3,1,1,0,"_","Active","_","Stream Beat"
134,134,0,0,0,1,0,25777,3,1,1,0,"_","Active","_","Stream Beat"
135,135,0,0,0,1,0,26663,3,1,1,0,"_","Active","_","Stream Beat"
136,136,0,0,0,1,0,36556,3,1,1,0,"_","Active","_","Stream Beat"
137,137,0,0,0,1,0,32467,3,1,1,0,"_","Active","_","Stream Beat"
138,138,0,0,0,1,0,27730,3,1,1,0,"_","Active","_","Stream Beat"
139,139,0,0,0,1,0,27926,3,1,1,0,"_","Active","_","Stream Beat"
140,140,0,0,0,1,0,21869,3,1,1,0,"_","Active","_","Stream Beat"
141,141,0,0,0,1,0,5373,3,1,1,0,"_","Active","_","Stream Beat"
142,142,0,0,0,1,0,5373,3,1,1,0,"_","Active","_","Stream Beat"
143,143,0,0,0,1,0,21869,3,1,1,0,"_","Active","_","Stream Beat"
144,144,0,0,0,1,0,27926,3,1,1,0,"_","Active","_","Stream Beat"
145,145,0,0,0,1,0,38112,3,1,1,0,"_","Active","_","Stream Beat"
146,146,0,0,0,1,0,36004,3,1,1,0,"_","Active","_","Stream Beat"
147,147,0,0,0,1,0,31849,3,1,1,0,"_","Active","_","Stream Beat"
148,148,0,0,0,1,0,31849,3,1,1,0,"_","Active","_","Stream Beat"
149,149,0,0,0,1,0,36004,3,1,1,0,"_","Active","_","Stream Beat"
150,150,0,0,0,1,0,38112,3,1,1,0,"_","Active","_","Stream Beat"
151,151,0,0,0,1,0,33633,3,1,1,0,"_","Active","_","Stream Beat"
152,152,0,0,0,1,0,38962,3,1,1,0,"_","Active","_","Stream Beat"
153,153,0,0,0,1,0,42629,3,1,1,0,"_","Active","_","Stream Beat"
154,154,0,0,0,1,0,47699,3,1,1,0,"_","Active","_","Stream Beat"
155,155,0,0,0,1,0,26644,3,1,1,0,"_","Active","_","Stream Beat"
156,156,0,0,0,1,0,25015,3,1,1,0,"_","Active","_","Stream Beat"
157,157,0,0,0,1,0,24525,3,1,1,0,"_","Active","_","Stream Beat"
158,158,0,0,0,1,0,19248,3,1,1,0,"_","Active","_","Stream Beat"
159,159,0,0,0,1,0,22856,3,1,1,0,"_","Active","_","Stream Beat"
160,160,0,0,0,1,0,22373,3,1,1,0,"_","Active","_","Stream Beat"
161,161,0,0,0,1,0,23346,3,1,1,0,"_","Active","_","Stream Beat"
162,162,0,0,0,1,0,22002,3,1,1,0,"_","Active","_","Stream Beat"
163,163,0,0,0,1,0,34071,3,1,1,0,"_","Active","_","Stream Beat"
164,164,0,0,0,1,0,27779,3,1,1,0,"_","Active","_","Stream Beat"
165,165,0,0,0,1,0,33286,3,1,1,0,"_","Active","_","Stream Beat"
166,166,0,0,0,1,0,28385,3,1,1,0,"_","Active","_","Stream Beat"
167,167,0,0,0,1,0,25186,3,1,1,0,"_","Active","_","Stream Beat"
168,168,0,0,0,1,0,27083,3,1,1,0,"_","Active","_","Stream Beat"
169,169,0,0,0,1,0,34734,3,1,1,0,"_","Active","_","Stream Beat"
170,170,0,0,0,1,0,39070,3,1,1,0,"_","Active","_","Stream Beat"
171,171,0,0,0,1,0,32174,3,1,1,0,"_","Active","_","Stream Beat"
172,172,0,0,0,1,0,23785,3,1,1,0,"_","Active","_","Stream Beat"
173,173,0,0,0,1,0,34695,3,1,1,0,"_","Active","_","Stream Beat"
174,174,0,0,0,1,0,33796,3,1,1,0,"_","Active","_","Stream Beat"
175,175,0,0,0,1,0,27169,3,1,1,0,"_","Active","_","Stream Beat"
176,176,0,0,0,1,0,35952,3,1,1,0,"_","Active","_","Stream Beat"
177,177,0,0,0,1,0,29381,3,1,1,0,"_","Active","_","Stream Beat"
178,178,0,0,0,1,0,24297,3,1,1,0,"_","Active","_","Stream Beat"
179,179,0,0,0,1,0,30639,3,1,1,0,"_","Active","_","Stream Beat"
180,180,0,0,0,1,0,34749,3,1,1,0,"_","Active","_","Stream Beat"
181,181,0,0,0,1,0,30201,3,1,1,0,"_","Active","_","Stream Beat"
182,182,0,0,0,1,0,38137,3,1,1,0,"_","Active","_","Stream Beat"
183,183,0,0,0,1,0,27881,3,1,1,0,"_","Active","_","Stream Beat"
184,184,0,0,0,1,0,28537,3,1,1,0,"_","Active","_","Stream Beat"
185,185,0,0,0,1,0,25035,3,1,1,0,"_","Active","_","Stream Beat"
186,186,0,0,0,1,0,25066,3,1,1,0,"_","Active","_","Stream Beat"
187,187,0,0,0,1,0,17521,3,1,1,0,"_","Active","_","Stream Beat"
188,188,0,0,0,1,0,27522,3,1,1,0,"_","Active","_","Stream Beat"
189,189,0,0,0,1,0,31143,3,1,1,0,"_","Active","_","Stream Beat"
190,190,0,0,0,1,0,35742,3,1,1,0,"_","Active","_","Stream Beat"
191,191,0,0,0,1,0,28680,3,1,1,0,"_","Active","_","Stream Beat"
192,192,0,0,0,1,0,34897,3,1,1,0,"_","Active","_","Stream Beat"
193,193,0,0,0,1,0,30134,3,1,1,0,"_","Active","_","Stream Beat"
194,194,0,0,0,1,0,36909,3,1,1,0,"_","Active","_","Stream Beat"
195,195,0,0,0,1,0,39836,3,1,1,0,"_","Active","_","Stream Beat"
196,196,0,0,0,1,0,37731,3,1,1,0,"_","Active","_","Stream Beat"
197,197,0,0,0,1,0,38916,3,1,1,0,"_","Active","_","Stream Beat"
198,198,0,0,0,1,0,35329,3,1,1,0,"_","Active","_","Stream Beat"
199,199,0,0,0,1,0,58581,3,1,1,0,"_","Active","_","Stream Beat"
200,200,0,0,0,1,0,48729,3,1,1,0,"_","Active","_","Stream Beat"
201,201,0,0,0,1,0,26854,3,1,1,0,"_","Active","_","Stream Beat"
202,202,0,0,0,1,0,28597,3,1,1,0,"_","Active","_","Stream Beat"
203,203,0,0,0,1,0,34227,3,1,1,0,"_","Active","_","Stream Beat"
204,204,0,0,0,1,0,28726,3,1,1,0,"_","Active","_","Stream Beat"
205,205,0,0,0,1,0,18377,3,1,1,0,"_","Active","_","Stream Beat"
206,206,0,0,0,1,0,20330,3,1,1,0,"_","Active","_","Stream Beat"
207,207,0,0,0,1,0,27254,3,1,1,0,"_","Active","_","Stream Beat"
208,208,0,0,0,1,0,22404,3,1,1,0,"_","Active","_","Stream Beat"
209,209,0,0,0,1,0,25011,3,1,1,0,"_","Active","_","Stream Beat"
210,210,0,0,0,1,0,36902,3,1,1,0,"_","Active","_","Stream Beat"
211,211,0,0,0,1,0,26843,3,1,1,0,"_","Active","_","Stream Beat"
212,212,0,0,0,1,0,26843,3,1,1,0,"_","Active","_","Stream Beat"
213,213,0,0,0,1,0,36902,3,1,1,0,"_","Active","_","Stream Beat"
214,214,0,0,0,1,0,25011,3,1,1,0,"_","Active","_","Stream Beat"
215,215,0,0,0,1,0,38112,3,1,1,0,"_","Active","_","Stream Beat"
216,216,0,0,0,1,0,36004,3,1,1,0,"_","Active","_","Stream Beat"
217,217,0,0,0,1,0,31849,3,1,1,0,"_","Active","_","Stream Beat"
218,218,0,0,0,1,0,31849,3,1,1,0,"_","Active","_","Stream Beat"
219,219,0,0,0,1,0,36004,3,1,1,0,"_","Active","_","Stream Beat"
220,220,0,0,0,1,0,38112,3,1,1,0,"_","Active","_","Stream Beat"
221,221,0,0,0,1,0,33633,3,1,1,0,"_","Active","_","Stream Beat"
222,222,0,0,0,1,0,38962,3,1,1,0,"_","Active","_","Stream Beat"
223,223,0,0,0,1,0,42629,3,1,1,0,"_","Active","_","Stream Beat"
224,224,0,0,0,1,0,47699,3,1,1,0,"_","Active","_","Stream Beat"
225,225,0,0,0,1,0,26644,3,1,1,0,"_","Active","_","Stream Beat"
226,226,0,0,0,1,0,25015,3,1,1,0,"_","Active","_","Stream Beat"
227,227,0,0,0,1,0,24525,3,1,1,0,"_","Active","_","Stream Beat"
228,228,0,0,0,1,0,19248,3,1,1,0,"_","Active","_","Stream Beat"
229,229,0,0,0,1,0,22856,3,1,1,0,"_","Active","_","Stream Beat"
230,230,0,0,0,1,0,22373,3,1,1,0,"_","Active","_","Stream Beat"
231,231,0,0,0,1,0,23346,3,1,1,0,"_","Active","_","Stream Beat"
232,232,0,0,0,1,0,22002,3,1,1,0,"_","Active","_","Stream Beat"
233,233,0,0,0,1,0,34071,3,1,1,0,"_","Active","_","Stream Beat"
234,234,0,0,0,1,0,27779,3,1,1,0,"_","Active","_","Stream Beat"
235,235,0,0,0,1,0,33286,3,1,1,0,"_","Active","_","Stream Beat"
236,236,0,0,0,1,0,28385,3,1,1,0,"_","Active","_","Stream Beat"
237,237,0,0,0,1,0,25186,3,1,1,0,"_","Active","_","Stream Beat"
238,238,0,0,0,1,0,27083,3,1,1,0,"_","Active","_","Stream Beat"
239,239,0,0,0,1,0,34734,3,1,1,0,"_","Active","_","Stream Beat"
240,240,0,0,0,1,0,39070,3,1,1,0,"_","Active","_","Stream Beat"
241,241,0,0,0,1,0,32174,3,1,1,0,"_","Active","_","Stream Beat"
242,242,0,0,0,1,0,23785,3,1,1,0,"_","Active","_","Stream Beat"
243,243,0,0,0,1,0,34695,3,1,1,0,"_","Active","_","Stream Beat"
244,244,0,0,0,1,0,33796,3,1,1,0,"_","Active","_","Stream Beat"
245,245,0,0,0,1,0,27169,3,1,1,0,"_","Active","_","Stream Beat"
246,246,0,0,0,1,0,35952,3,1,1,0,"_","Active","_","Stream Beat"
247,247,0,0,0,1,0,29381,3,1,1,0,"_","Active","_","Stream Beat"
248,248,0,0,0,1,0,24297,3,1,1,0,"_","Active","_","Stream Beat"
249,249,0,0,0,1,0,30639,3,1,1,0,"_","Active","_","Stream Beat"
